vehicle,profile,arc,av_vs_capped_mm,av_vs_tungsten_mm,av_vs_heat_mm,d_ref_mm,schurzen,face_hardened,rounded_mantlet,notes
Panzer IV Ausf H,Hull,Front,64.9,69.0,81.2,75.0,False,True,False,"widely-cited figure, not verified vs Panzer Tracts this session"
Panzer IV Ausf H,Hull,Side,23.8,25.2,30.0,75.0,True,True,False,
Panzer IV Ausf H,Hull,Rear,19.7,20.8,20.4,75.0,False,False,False,
Panzer IV Ausf H,Turret,Front,78.9,102.5,50.8,75.0,False,False,True,"flat-plate approx, no mantlet thickness map available"
Panzer IV Ausf H,Turret,Side,29.7,30.0,30.0,75.0,True,False,False,
Panzer IV Ausf H,Turret,Rear,29.7,30.5,30.3,75.0,False,False,False,
Panzer III Ausf M,Hull,Front,51.4,57.0,75.0,75.0,False,0.7142857,False,"Layered composite: 20mm bolted applique + 50mm base plate, computed via layered_plate_effective_thickness(first_hit_mm=20, underlying_mm=50)=56.0mm (Ch.9 p.38 formula, validated against the chapter's own 3 worked examples this session). face_hardened_fraction=50/70=0.714 reflects that only the base plate (within the confirmed 30-50mm 1942 policy bracket) is face-hardened, not the bolt-on applique -- blended via ArmorPlate.face_hardened_fraction rather than the all-or-nothing face_hardened flag. This project's own construction (how to blend partial face-hardening), not directly sourced -- see design spec S17/19. heat_thickness_mm/heat_vertical_deg overridden to the raw 70mm/21deg: Ch.9's layered-plate discount is derived from kinetic plugging-shear test data and there is no sourced basis for applying the same discount to a HEAT jet's penetration mechanism -- deliberately NOT applying the kinetic-specific correction to HEAT rather than assuming it carries over."
Panzer III Ausf M,Hull,Side,29.7,30.0,30.0,75.0,True,False,False,"schurzen: standard running-production feature on PzIII/PzIV from ~March 1943, within this vehicle's 1943 era -- external general knowledge, not confirmed in either project source (searched, not found)"
Panzer III Ausf M,Hull,Rear,49.8,50.0,50.0,75.0,False,False,False,
Panzer III Ausf M,Turret,Front,57.8,59.4,58.3,75.0,False,False,False,
Panzer III Ausf M,Turret,Side,29.7,30.0,30.0,75.0,False,False,False,
Panzer III Ausf M,Turret,Rear,29.7,30.0,30.0,75.0,False,False,False,
Tiger I Ausf E,Hull,Front,102.0,102.8,101.5,75.0,False,False,False,
Tiger I Ausf E,Hull,Side,80.1,80.0,80.0,75.0,False,False,False,"Ch.20 p.88 (confirmed verbatim this session): 'British firing tests against Tiger E armor in North Africa indicated that the 310-330 Brinell side armor resisted penetration with the same resistance as good quality Allied test plate.' No schurzen: Thoma-shield turret skirts were a ~spring-1944 field feature, after this vehicle's 1943 era"
Tiger I Ausf E,Hull,Rear,80.1,80.0,80.0,75.0,False,False,False,"same plate class as side, applying same measured BHN"
Tiger I Ausf E,Turret,Front,143.0,94.6,100.0,75.0,False,False,False,"pre-resolved via Ch.10 mantlet edge-effect table, 76mm-class attacker, combined mantlet+turret-front-bar resistance"
Tiger I Ausf E,Turret,Side,80.1,80.0,80.0,75.0,False,False,False,
Tiger I Ausf E,Turret,Rear,80.1,80.0,80.0,75.0,False,False,False,
